backend,size,run,compute_ms,total_ms
cpu_opencv,512,0,1.695394515991211,1.695394515991211
cpu_opencv,512,1,0.934600830078125,0.934600830078125
cpu_opencv,512,2,0.38433074951171875,0.38433074951171875
cpu_opencv,512,3,0.8165836334228516,0.8165836334228516
cpu_opencv,512,4,0.4458427429199219,0.4458427429199219
cpu_opencv,512,5,0.5390644073486328,0.5390644073486328
gpu_cupy,512,0,3.073453903198242,3.073453903198242
gpu_cupy,512,1,0.6494522094726562,0.6494522094726562
gpu_cupy,512,2,0.5223751068115234,0.5223751068115234
gpu_cupy,512,3,0.5266666412353516,0.5266666412353516
gpu_cupy,512,4,0.49686431884765625,0.49686431884765625
gpu_cupy,512,5,0.5064010620117188,0.5064010620117188
cpu_opencv,1024,0,3.925323486328125,3.925323486328125
cpu_opencv,1024,1,2.5987625122070312,2.5987625122070312
cpu_opencv,1024,2,1.5761852264404297,1.5761852264404297
cpu_opencv,1024,3,1.7044544219970703,1.7044544219970703
cpu_opencv,1024,4,1.6827583312988281,1.6827583312988281
cpu_opencv,1024,5,1.636505126953125,1.636505126953125
gpu_cupy,1024,0,1.6422271728515625,1.6422271728515625
gpu_cupy,1024,1,1.0063648223876953,1.0063648223876953
gpu_cupy,1024,2,1.009225845336914,1.009225845336914
gpu_cupy,1024,3,0.9844303131103516,0.9844303131103516
gpu_cupy,1024,4,0.9846687316894531,0.9846687316894531
gpu_cupy,1024,5,0.9856224060058594,0.9856224060058594
